"corpus","user/st.schwarz/xriddle_23"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"gern",1,1827063,521.37640,87.00466,5.936
"geschehen",1,1859823,521.37640,88.56469,5.832
"schule",2,3795521,1042.75281,180.74255,5.743
"leute",2,3806595,1042.75281,181.26990,5.726
"reich",1,1907226,521.37640,90.82203,5.689
"beziehung",1,1910617,521.37640,90.98351,5.679
"land",4,7797555,2085.50562,371.31924,5.604
"zuvor",1,1943322,521.37640,92.54091,5.584
"feiern",1,1950638,521.37640,92.88931,5.564
"politisch",2,3946513,1042.75281,187.93279,5.524
"links",1,1996613,521.37640,95.07863,5.437
"krieg",1,2001536,521.37640,95.31306,5.424
"alter",1,2005853,521.37640,95.51864,5.412
"beschäftigen",1,2016663,521.37640,96.03341,5.383
"jemand",2,4063347,1042.75281,193.49641,5.366
"durchaus",1,2028846,521.37640,96.61356,5.351
"lediglich",1,2047504,521.37640,97.50206,5.303
"niemand",1,2065995,521.37640,98.38260,5.256
"boden",1,2081059,521.37640,99.09995,5.219
"indem",1,2100557,521.37640,100.02843,5.171
"darum",1,2104985,521.37640,100.23930,5.160
"polizei",1,2113910,521.37640,100.66431,5.138
"teilen",1,2134406,521.37640,101.64032,5.089
"nichts",4,8636491,2085.50562,411.26935,5.061
"langsam",1,2167287,521.37640,103.20612,5.013
"verfügen",1,2169683,521.37640,103.32022,5.007
"licht",1,2169976,521.37640,103.33417,5.007
"besitzen",1,2211983,521.37640,105.33455,4.913
"zehn",1,2215247,521.37640,105.48997,4.905
"lernen",2,4447925,1042.75281,211.81001,4.905
"ehemalig",1,2237614,521.37640,106.55508,4.857
"manchmal",1,2244906,521.37640,106.90234,4.841
"besuchen",1,2260191,521.37640,107.63020,4.809
"eins",1,2281184,521.37640,108.62988,4.765
"welt",3,6927635,1564.12927,329.89368,4.730
"verbindung",1,2301574,521.37640,109.60086,4.723
"frau",4,9317583,2085.50562,443.70294,4.692
"günstig",1,2327906,521.37640,110.85479,4.670
"satz",1,2330477,521.37640,110.97722,4.665
"wunsch",1,2332103,521.37640,111.05465,4.662
"vorteil",1,2335388,521.37640,111.21107,4.655
"nie",2,4773445,1042.75281,227.31126,4.572
"treffen",2,4795113,1042.75281,228.34308,4.551
"dort",4,9679582,2085.50562,460.94131,4.517
"her",1,2409227,521.37640,114.72729,4.514
"sprache",1,2455151,521.37640,116.91419,4.430
"chance",1,2473740,521.37640,117.79939,4.397
"familie",2,4984009,1042.75281,237.33832,4.379
"partei",1,2513443,521.37640,119.69005,4.328
"all",1,2535963,521.37640,120.76245,4.290
"laden",1,2544470,521.37640,121.16756,4.276
"name",2,5168182,1042.75281,246.10861,4.224
"wünschen",1,2612898,521.37640,124.42609,4.165
"heißen",2,5286665,1042.75281,251.75076,4.130
"stück",1,2640000,521.37640,125.71670,4.122
"ziehen",2,5301896,1042.75281,252.47607,4.118
"stadt",3,8002463,1564.12927,381.07697,4.096
"kennen",2,5332086,1042.75281,253.91371,4.095
"rot",1,2665567,521.37640,126.93419,4.083
"andere",4,10757606,2085.50562,512.27679,4.065
"ende",3,8171685,1564.12927,389.13528,4.012
"seine",20,54854831,10427.52832,2612.18481,3.991
"gelingen",1,2738746,521.37640,130.41898,3.975
"laufen",2,5527115,1042.75281,263.20099,3.951
"mutter",1,2799113,521.37640,133.29366,3.890
"hinaus",1,2801022,521.37640,133.38455,3.887
"wegen",2,5634582,1042.75281,268.31854,3.876
"weiterhin",1,2817818,521.37640,134.18439,3.864
"passen",1,2890302,521.37640,137.63606,3.768
"funktionieren",1,2896279,521.37640,137.92070,3.760
"doch",7,20396319,3649.63501,971.27191,3.755
"sprechen",2,5836544,1042.75281,277.93597,3.742
"suchen",2,5884131,1042.75281,280.20206,3.712
"obwohl",1,2937052,521.37640,139.86229,3.708
"zahl",1,2943026,521.37640,140.14677,3.701
"rein",1,2953135,521.37640,140.62817,3.688
"eltern",1,2976259,521.37640,141.72932,3.660
"sogar",2,6033547,1042.75281,287.31726,3.620
"damals",1,3039698,521.37640,144.75031,3.584
"zwischen",4,12337829,2085.50562,587.52692,3.545
"ein",3,9263361,1564.12927,441.12085,3.540
"bedeuten",1,3082802,521.37640,146.80290,3.534
"jung",2,6263208,1042.75281,298.25369,3.488
"verlieren",1,3181171,521.37640,151.48723,3.426
"lösung",1,3187170,521.37640,151.77290,3.419
"einzig",1,3239555,521.37640,154.26749,3.364
"gast",1,3271733,521.37640,155.79979,3.331
"tatsächlich",1,3305897,521.37640,157.42668,3.297
"schließlich",1,3337984,521.37640,158.95465,3.266
"zweit",2,7021295,1042.75281,334.35376,3.112
"mann",2,7065960,1042.75281,336.48071,3.093
"blick",1,3535164,521.37640,168.34436,3.085
"meiste",1,3555719,521.37640,169.32320,3.067
"etwa",2,7157079,1042.75281,340.81982,3.054
"alt",3,10839413,1564.12927,516.17242,3.026
"eigen",3,10901595,1564.12927,519.13348,3.009
"haus",2,7287682,1042.75281,347.03912,2.999
"freund",1,3638392,521.37640,173.26007,2.998
"echt",1,3646292,521.37640,173.63628,2.991
"machen",8,29413052,4171.01123,1400.64832,2.977
"setzen",2,7432256,1042.75281,353.92371,2.941
"zwei",4,15111846,2085.50562,719.62549,2.895
"beide",3,11871601,1564.12927,565.32513,2.764
"was",9,36077788,4692.38770,1718.02283,2.730
"ihre",16,65493487,8342.02246,3118.79712,2.674
"besonder",1,4089880,521.37640,194.75992,2.668
"gerade",2,8274576,1042.75281,394.03497,2.642
"schon",7,29039356,3649.63501,1382.85291,2.638
"wissen",3,12459506,1564.12927,593.32117,2.633
"wasser",1,4222862,521.37640,201.09251,2.585
"folgen",1,4292150,521.37640,204.39201,2.543
"ergebnis",1,4307833,521.37640,205.13884,2.534
"während",2,8681942,1042.75281,413.43372,2.519
"leben",3,13034354,1564.12927,620.69543,2.518
"erfahrung",1,4345282,521.37640,206.92215,2.512
"geld",1,4352105,521.37640,207.24706,2.508
"kaufen",1,4369845,521.37640,208.09184,2.498
"zudem",1,4375413,521.37640,208.35699,2.495
"halten",2,8783689,1042.75281,418.27890,2.489
"legen",1,4390768,521.37640,209.08820,2.486
"schreiben",2,8802653,1042.75281,419.18198,2.484
"selbst",3,13348602,1564.12927,635.65991,2.458
"herr",1,4446572,521.37640,211.74557,2.455
"fest",1,4486611,521.37640,213.65222,2.434
"schnell",2,9078928,1042.75281,432.33817,2.409
"fallen",1,4534295,521.37640,215.92293,2.408
"versuchen",1,4626016,521.37640,220.29068,2.361
"als",18,84065852,9384.77539,4003.21216,2.344
"bringen",2,9383355,1042.75281,446.83499,2.331
"darüber",1,4744996,521.37640,225.95653,2.302
"führen",2,9625175,1042.75281,458.35043,2.272
"warum",1,4814754,521.37640,229.27838,2.268
"später",1,4853356,521.37640,231.11662,2.250
"entsprechend",1,4877289,521.37640,232.25632,2.239
"schwer",1,4960771,521.37640,236.23172,2.202
