"","token","freq","target","unique","stopword"
"511","changed",6,"cl",0,0
"3808","changed",5,"co",0,0
"512","channels",2,"cl",1,0
"513","character",2,"cl",1,0
"514","characters",4,"cl",1,0
"515","charging",2,"cl",1,0
"516","charity",2,"cl",1,0
"517","chasing",2,"cl",1,0
"518","chat",8,"cl",1,0
"519","chatting",6,"cl",1,0
"520","cheap",6,"cl",1,0
"521","cheaper",2,"cl",1,0
"522","cheat",4,"cl",1,0
"523","cheating",2,"cl",1,0
"524","check",4,"cl",1,0
"525","checking",4,"cl",1,0
"526","cheering",2,"cl",1,0
"527","cheers",2,"cl",1,0
"528","cheese",2,"cl",1,0
"529","chemist",2,"cl",1,0
"530","chemistry",2,"cl",0,0
"3813","chemistry",1,"co",0,1
"531","chew",2,"cl",1,0
"532","child",26,"cl",0,0
"3814","child",1,"co",0,0
"533","childish",2,"cl",1,0
"534","children",8,"cl",0,0
"3815","children",2,"co",0,0
"535","chill",2,"cl",1,0
"536","chime",2,"cl",1,0
"537","chit",2,"cl",1,0
"538","choice",2,"cl",0,0
"3816","choice",7,"co",0,0
"539","chomping",2,"cl",1,0
"540","choose",4,"cl",0,0
"3818","choose",2,"co",0,0
"541","chopped",2,"cl",1,0
"542","chorus",6,"cl",1,0
"543","chose",2,"cl",0,0
"3821","chose",2,"co",0,0
"544","Christmas",6,"cl",0,0
"3823","Christmas",2,"co",0,0
"545","chucked",4,"cl",1,0
"546","chuffed",2,"cl",1,0
"547","chunk",6,"cl",1,0
"548","chunks",2,"cl",1,0
"549","church",4,"cl",1,0
"550","circumstances",2,"cl",0,0
"3826","circumstances",1,"co",0,0
"551","city",6,"cl",1,0
"552","City",2,"cl",1,0
"553","cl",2,"cl",1,0
"554","cla",2,"cl",1,0
"555","clarity",2,"cl",0,0
"3827","clarity",1,"co",0,0
"556","class",8,"cl",1,0
"557","classifies",2,"cl",1,0
"558","clean",10,"cl",1,0
"559","clear",6,"cl",0,0
"3829","clear",7,"co",0,0
"560","clearer",2,"cl",1,0
"561","clearly",2,"cl",0,0
"3830","clearly",3,"co",0,0
"562","clever",12,"cl",0,0
"3831","clever",1,"co",0,0
"563","click",16,"cl",1,0
"564","clicked",2,"cl",0,0
"3832","clicked",5,"co",0,0
"565","clicks",6,"cl",1,0
"566","client",10,"cl",1,0
"567","climbing",2,"cl",1,0
"568","clip",2,"cl",1,0
"569","clipboard",2,"cl",1,0
"570","cliques",2,"cl",1,0
"571","clock",4,"cl",0,0
"3835","clock",1,"co",0,0
"572","clocks",2,"cl",1,0
"573","close",10,"cl",0,0
"3836","close",1,"co",0,0
"574","closed",6,"cl",1,0
"575","closely",2,"cl",0,0
"3837","closely",1,"co",0,0
"576","clothes",4,"cl",1,0
"577","clouds",10,"cl",0,0
"3840","clouds",1,"co",0,0
"578","clozapine",2,"cl",1,0
"579","clozaril",4,"cl",1,0
"580","club",6,"cl",1,0
"581","clue",4,"cl",1,0
"582","co",4,"cl",1,0
"583","coat",2,"cl",1,0
"584","Cobe",2,"cl",1,0
"585","cockney",6,"cl",1,0
"586","cocky",2,"cl",1,0
"587","code",82,"cl",1,0
"588","coding",28,"cl",1,0
"589","cofacilitator",6,"cl",1,0
"590","coffee",2,"cl",1,0
"591","CoffeeCup",4,"cl",1,0
"592","coherent",4,"cl",1,0
"593","coke",2,"cl",1,0
"594","cold",4,"cl",1,0
"595","college",8,"cl",1,0
"596","collosal",2,"cl",1,0
"597","colour",4,"cl",0,0
"3847","colour",12,"co",0,0
"598","coloured",2,"cl",1,0
"599","colourful",2,"cl",1,0
"600","colourfully",4,"cl",1,0
"601","colouring",4,"cl",1,0
"602","colours",2,"cl",0,0
"3848","colours",2,"co",0,0
"603","com",10,"cl",1,0
"604","come",98,"cl",0,0
"3849","come",18,"co",0,0
"605","comes",60,"cl",0,0
"3850","comes",2,"co",0,0
"606","comet",4,"cl",1,0
"607","comfort",2,"cl",0,0
"3851","comfort",2,"co",0,0
"608","comfortable",2,"cl",0,0
"3852","comfortable",4,"co",0,0
"609","coming",18,"cl",0,0
"3853","coming",7,"co",0,0
"610","commemorate",2,"cl",1,0
"611","commemoration",2,"cl",1,0
"612","comment",2,"cl",0,0
"3855","comment",1,"co",0,0
"613","comments",2,"cl",1,0
"614","common",8,"cl",0,0
"3857","common",2,"co",0,0
"615","communicate",12,"cl",0,0
"3859","communicate",3,"co",0,0
"616","communicates",2,"cl",1,0
"617","communicating",10,"cl",0,0
"3860","communicating",2,"co",0,0
"618","communication",14,"cl",0,0
"3861","communication",1,"co",0,0
"619","community",6,"cl",1,0
"620","compan",2,"cl",1,0
"621","companies",2,"cl",1,0
"622","company",4,"cl",1,0
"623","compared",10,"cl",1,0
"624","compatible",2,"cl",1,0
"625","complaining",2,"cl",1,0
"626","complete",4,"cl",0,0
"3863","complete",6,"co",0,0
"627","completed",2,"cl",1,0
"628","completely",18,"cl",0,0
"3864","completely",6,"co",0,0
"629","complex",8,"cl",1,0
"630","complexity",2,"cl",1,0
