1_id	1_span	1_anno_tok:abbrev	1_anno_tok:gloss	1_anno_tok:mftb_lem	1_anno_tok:mftb_pos	1_anno_tok:pos	1_anno_tok:tt_lem	1_anno_tok:tt_pos	2_id	2_span	2_anno_tok:gloss	2_anno_tok:mftb_lem	2_anno_tok:mftb_pos
8589096	hmm	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8589097	oke	'NULL'	'NULL'	'NULL'
8589218	:)	'NULL'	:)	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8589220	okee	'NULL'	'NULL'	'NULL'
8589492	?	'NULL'	?	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8589494	oke	'NULL'	'NULL'	'NULL'
8590327	uuschlammere	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8590329	oke	'NULL'	'NULL'	'NULL'
8590386	ahh	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8590387	okay	'NULL'	'NULL'	'NULL'
8590418	ahh	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8590419	oke	'NULL'	'NULL'	'NULL'
8590562	hehe	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8590563	oke	'NULL'	'NULL'	'NULL'
8590572	:)	'NULL'	:)	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8590574	oke	'NULL'	'NULL'	'NULL'
8590675	)	'NULL'	)	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8590677	okee	'NULL'	'NULL'	'NULL'
8591470	ah	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8591471	oke	'NULL'	'NULL'	'NULL'
8591510	emojiQgrowingHeart	'NULL'	emojiQgrowingHeart	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8591512	okidoki	'NULL'	'NULL'	'NULL'
8591615	emojiQheavyBlackHeart	'NULL'	emojiQheavyBlackHeart	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8591617	oki	'NULL'	'NULL'	'NULL'
8591843	emojiQokHandSign	'NULL'	emojiQokHandSign	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8591845	okee	'NULL'	'NULL'	'NULL'
8592039	:)	'NULL'	:)	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8592041	okee	'NULL'	'NULL'	'NULL'
8592356	emojiQsmirkingFace	'NULL'	emojiQsmirkingFace	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8592358	okee	'NULL'	'NULL'	'NULL'
8592455	?	'NULL'	?	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8592457	okee	'NULL'	'NULL'	'NULL'
8593227	emojiQgrowingHeart	'NULL'	emojiQgrowingHeart	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8593229	oki	'NULL'	'NULL'	'NULL'
8593306	emojiQsmilingFaceWithHeartShapedEyes	'NULL'	emojiQsmilingFaceWithHeartShapedEyes	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8593308	okee	'NULL'	'NULL'	'NULL'
